Camera-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,61.75,63.2,59.89,66.37,62.86,63.2,93.04,91.83
Prop,66.86,71.03,66.03,78.3,70.61,71.38,93.04,91.83
Binary,69.88,74.76,69.7,86.13,75.18,76.31,93.04,91.83
Camera-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,17.63,16.87,18.09,59.33
Prop,25.68,25.78,27.64,59.33
Binary,28.17,28.44,30.49,59.33
Camera-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,17.63,12.32,13.21,59.33
Prop,25.68,18.57,19.91,59.33
Binary,28.17,20.28,21.75,59.33
Camera-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,17.63,17.24,19.31,64.28
Prop,25.68,26.75,29.95,64.28
Binary,28.17,29.76,33.33,64.28
Camera-COQE_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,17.63,12.52,14.02,64.28
Prop,25.68,19.39,21.72,64.28
Binary,28.17,21.42,23.98,64.28
VLSP23-ComOM_bert_first_multitask_25_16_run/embe_1
measure_type,entity_1,entity_2,aspect,result,macro,micro,sent_acc,elem_acc
Exact,44.07,31.75,17.6,30.0,31.15,30.52,86.07,85.07
Prop,57.27,36.51,44.32,59.62,49.92,51.06,86.07,85.07
Binary,61.02,38.1,56.0,66.67,55.98,57.75,86.07,85.07
VLSP23-ComOM_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.9,1.34,1.35,51.02
Prop,17.99,20.89,21.03,51.02
Binary,21.72,25.5,25.68,51.02
VLSP23-ComOM_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.9,1.34,1.35,51.02
Prop,17.99,19.85,19.98,51.02
Binary,21.72,24.16,24.32,51.02
VLSP23-ComOM_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.9,1.32,1.35,53.06
Prop,17.99,20.48,21.03,53.06
Binary,21.72,25.0,25.68,53.06
VLSP23-ComOM_bert_first_multitask_25_16_run/embe_1
measure_type,init_pair,pair,polarity_acc,keep_rate
Exact,0.9,1.32,1.35,53.06
